16452.130020937548 ,j
16453.779749390502 ,i
16456.927693803947 ,g
16469.415649791274 ,c
16475.630433806273 ,a
28154.703085901445 ,h
28168.800518498676 ,i
28173.010575394906 ,c
28178.87467705677 ,a
47483.96879871304 ,g
47485.647499941595 ,e
47486.7515408942 ,h
47491.452862786755 ,a
67994.30103846003 ,f
67998.86724331457 ,e
68005.55694634122 ,j
71670.66161418323 ,k
71682.59059054211 ,d
71685.02874414726 ,k
71685.96811925937 ,f
71689.92871628744 ,a
84136.19311938743 ,d
84138.39182288635 ,h
84138.61191973544 ,e
84141.25922137828 ,a
85571.92145848834 ,e
85578.9562708617 ,j
85580.33423926111 ,d
88086.91458868694 ,e
88096.1868661422 ,k
88098.96573050013 ,d
88100.45622016749 ,c
88110.22026403341 ,a
88528.68712810666 ,i
88531.63520853859 ,c
88533.44073544469 ,b
88533.76596095855 ,h
88540.56475552262 ,a
98384.2471962833 ,g
98400.39378554742 ,b
98403.56203532754 ,i
98404.22413641465 ,j
98406.82754569052 ,a
